
## compliance-dock
North wall west [[-6.8, 15.8, 0.0], [-2.3, 16.08, 4.4]]
Roof girder web [[-3.8, 0.94, 6.4], [9.8, 1.06, 7.04]]
Roof girder flange [[-3.8, 0.79, 6.35], [9.8, 1.21, 6.41]]
Roof girder flange.001 [[-3.8, 0.79, 7.01], [9.8, 1.21, 7.07]]
Roof girder web.001 [[-3.8, 5.94, 6.4], [9.8, 6.06, 7.04]]
Roof girder flange.002 [[-3.8, 5.79, 6.35], [9.8, 6.21, 6.41]]
Roof girder flange.003 [[-3.8, 5.79, 7.01], [9.8, 6.21, 7.07]]
Roof girder web.002 [[-3.8, 10.94, 6.4], [9.8, 11.06, 7.04]]
Roof girder flange.004 [[-3.8, 10.79, 6.35], [9.8, 11.21, 6.41]]
Roof girder flange.005 [[-3.8, 10.79, 7.01], [9.8, 11.21, 7.07]]
Roof girder web.003 [[-3.8, 15.94, 6.4], [9.8, 16.06, 7.04]]
Roof girder flange.006 [[-3.8, 15.79, 6.35], [9.8, 16.21, 6.41]]
Roof girder flange.007 [[-3.8, 15.79, 7.01], [9.8, 16.21, 7.07]]
Roof girder web.004 [[-3.8, 20.94, 6.4], [9.8, 21.06, 7.04]]
Roof girder flange.008 [[-3.8, 20.79, 6.35], [9.8, 21.21, 6.41]]
Roof girder flange.009 [[-3.8, 20.79, 7.01], [9.8, 21.21, 7.07]]
Roof girder web.005 [[-3.8, 23.54, 6.4], [9.8, 23.66, 7.04]]
Roof girder flange.010 [[-3.8, 23.39, 6.35], [9.8, 23.81, 6.41]]
Roof girder flange.011 [[-3.8, 23.39, 7.01], [9.8, 23.81, 7.07]]
Roof purlin [[-1.05, 0.0, 6.94], [-0.95, 24.0, 7.1]]
Roof purlin.001 [[2.95, 0.0, 6.94], [3.05, 24.0, 7.1]]
Roof purlin.002 [[6.95, 0.0, 6.94], [7.05, 24.0, 7.1]]
Wall casting joint [[-4.0, 19.746, 1.0], [-3.996, 19.754, 6.2]]
Wall casting joint.001 [[-4.0, 22.896, 1.0], [-3.996, 22.904, 6.2]]
Generator roof cooling fin [[4.077, 14.67, 3.03], [4.122, 18.43, 3.15]]
Generator roof cooling fin.001 [[4.207, 14.67, 3.03], [4.253, 18.43, 3.15]]
Generator roof cooling fin.002 [[4.338, 14.67, 3.03], [4.383, 18.43, 3.15]]
Generator roof cooling fin.003 [[4.467, 14.67, 3.03], [4.512, 18.43, 3.15]]
Generator roof cooling fin.004 [[4.597, 14.67, 3.03], [4.642, 18.43, 3.15]]
Generator roof cooling fin.005 [[4.727, 14.67, 3.03], [4.773, 18.43, 3.15]]
Generator roof cooling fin.006 [[4.858, 14.67, 3.03], [4.903, 18.43, 3.15]]
Generator roof cooling fin.007 [[4.988, 14.67, 3.03], [5.033, 18.43, 3.15]]
Generator roof cooling fin.008 [[5.117, 14.67, 3.03], [5.162, 18.43, 3.15]]
Wall panel vertical reveal [[-3.978, 3.492, 0.975], [-3.962, 3.508, 6.125]]
Wall panel vertical reveal.001 [[-3.978, 8.492, 0.975], [-3.962, 8.508, 6.125]]
Wall panel vertical reveal.002 [[-3.978, 13.492, 0.975], [-3.962, 13.508, 6.125]]
Wall panel vertical reveal.003 [[-3.978, 18.492, 0.975], [-3.962, 18.508, 6.125]]
Wall panel vertical reveal.004 [[9.962, 3.492, 0.975], [9.978, 3.508, 6.125]]
Wall panel vertical reveal.005 [[9.962, 8.492, 0.975], [9.978, 8.508, 6.125]]
Wall panel vertical reveal.006 [[9.962, 13.492, 0.975], [9.978, 13.508, 6.125]]
Wall panel vertical reveal.007 [[9.962, 18.492, 0.975], [9.978, 18.508, 6.125]]

## waste-storage
West Wall [[-6.32, 0.0, 0.0], [-6.0, 18.0, 4.8]]
East Wall [[6.0, 0.0, 0.0], [6.32, 1.8, 4.8]]
East Wall.001 [[6.0, 3.0, 0.0], [6.32, 18.0, 4.8]]
Receiving wall [[-6.0, -0.32, 0.0], [-1.5, 0.0, 4.8]]
Receiving wall.001 [[1.5, -0.32, 0.0], [6.0, 0.0, 4.8]]
Dispatch wall [[-6.0, 18.0, 0.0], [-1.2, 18.32, 4.8]]
Dispatch wall.001 [[1.2, 18.0, 0.0], [6.0, 18.32, 4.8]]
Steel portal reveal [[1.5, -0.16, 0.0], [1.63, 0.16, 3.2]]
Steel portal reveal.001 [[-1.63, -0.16, 0.0], [-1.5, 0.16, 3.2]]
Roof beam web [[-5.9, 4.395, 4.38], [5.9, 4.505, 4.72]]
Roof beam flange [[-5.9, 4.275, 4.34], [5.9, 4.625, 4.38]]
Roof beam flange.001 [[-5.9, 4.275, 4.72], [5.9, 4.625, 4.76]]
Roof beam web.001 [[-5.9, 8.995, 4.38], [5.9, 9.105, 4.72]]
Roof beam flange.002 [[-5.9, 8.875, 4.34], [5.9, 9.225, 4.38]]
Roof beam flange.003 [[-5.9, 8.875, 4.72], [5.9, 9.225, 4.76]]
Roof beam web.002 [[-5.9, 13.695, 4.38], [5.9, 13.805, 4.72]]
Roof beam flange.004 [[-5.9, 13.575, 4.34], [5.9, 13.925, 4.38]]
Roof beam flange.005 [[-5.9, 13.575, 4.72], [5.9, 13.925, 4.76]]
Roof beam web.003 [[-5.9, 17.595, 4.38], [5.9, 17.705, 4.72]]
Roof beam flange.006 [[-5.9, 17.475, 4.34], [5.9, 17.825, 4.38]]
Roof beam flange.007 [[-5.9, 17.475, 4.72], [5.9, 17.825, 4.76]]
Longitudinal roof purlin [[-3.045, 0.0, 4.74], [-2.955, 18.0, 4.8]]
Longitudinal roof purlin.001 [[-0.045, 0.0, 4.74], [0.045, 18.0, 4.8]]
Longitudinal roof purlin.002 [[2.955, 0.0, 4.74], [3.045, 18.0, 4.8]]
